OrderNumber,TrackingID,ReferenceValue,ShipDate,StatusDate,ClearanceStatusType,CartonCount,PieceCount,Code,LookupDepot_Description,AssignedDepotCode,Accounts_Description,StatusType,Label
0034261151,45449,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,45271,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,61622,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,61622,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,59135,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,61624,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,61622,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,61624,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,41279,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,45449,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,45449,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,45449,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,45271,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,45271,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,45271,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,61624,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,56409,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,59135,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,59135,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,59091,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,59091,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,59091,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,61622,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,59135,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,61624,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,56409,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,56409,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,56409,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,53738,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,53738,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,53738,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,59091,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,63715,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,43790,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,53738,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,45253,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,63715,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,63715,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,42087,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,42087,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,42087,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
0034261151,42087,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,45253,34261151-m,3/4/2020,3/17/2020,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Not Clearable
0034261151,63715,34261151-m,3/4/2020,3/17/2020,1,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",212,Retrieve-Clearable
