Label,CartonCount,PieceCount
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,2
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,1,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,20,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,2
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,2
Shipment Data Received-Not Clearable,0,2
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,2,2
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,2
Shipment Data Received-Not Clearable,0,2
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,8,1
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,2
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,7
Shipment Data Received-Not Clearable,0,7
Shipment Data Received-Not Clearable,0,7
Shipment Data Received-Not Clearable,0,7
Shipment Data Received-Not Clearable,0,7
Shipment Data Received-Not Clearable,0,7
Shipment Data Received-Not Clearable,0,7
Shipment Data Received-Not Clearable,0,3
Shipment Data Received-Not Clearable,1,1
Shipment Data Received-Not Clearable,0,1
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
Shipment Data Received-Not Clearable,0,0
