OrderNumber,ShipDate,StatusDate,ClearanceStatusType,CartonCount,PieceCount,Code,LookupDepot_Description,AssignedDepotCode,Accounts_Description,StatusType,Label
34444152,4/2/2020,,0,146,8,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34463879,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34444152,4/2/2020,,0,146,8,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34444152,4/2/2020,,0,146,8,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34444152,4/2/2020,,0,146,8,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34444152,4/2/2020,,0,146,8,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34444152,4/2/2020,,0,146,8,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34414454,4/2/2020,,0,19,3,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34444152,4/2/2020,,0,146,8,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34414454,4/2/2020,,0,19,3,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34422512,4/2/2020,,0,47,3,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34422512,4/2/2020,,0,47,3,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34422512,4/2/2020,,0,47,3,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34406270,4/2/2020,,0,29,2,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34406270,4/2/2020,,0,29,2,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34461858,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34458854,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34444152,4/2/2020,,0,146,8,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34454956,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34461465,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34446640,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34451893,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34451998,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34452164,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34452081,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34414454,4/2/2020,,0,19,3,MDT,Harrisburg (MDT),MDT,"Kohler - Carlisle, PA (TTB)",200,Shipment Data Received-Not Clearable
34451816,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34407021,4/2/2020,,0,0,2,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34454955,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34452222,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34452217,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34446086,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34451506,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34453626,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34463868,4/3/2020,,0,61,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34452223,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34461722,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34454685,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34452410,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
TVB000005099,4/2/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34393270,4/2/2020,,0,0,3,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
TVB000005100,4/2/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
TVB000005098,4/2/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34459181,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34452129,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34454131,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34460552,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34452699,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34459650,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34460383,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34462074,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34453972,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34460229,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34460127,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
TVB000005118,4/2/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34416798,4/1/2020,,0,1,1,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34460113,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34460685,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34461353,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34460036,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34449488,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34460991,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34452707,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
TVB000005106,4/2/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34453962,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
TVB000005117,4/2/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
TVB000005116,4/2/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
TVB000005115,4/2/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
TVB000005114,4/2/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
TVB000005110,4/2/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
TVB000005105,4/2/2020,,0,0,0,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34459941,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34459195,4/2/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34468632,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34444432,4/1/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34457926,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34468511,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34468637,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34468635,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34467509,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34458539,4/3/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34468057,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34450488,4/3/2020,,0,4,1,MEM,Memphis (MEM),MEM,"Kohler - Union City, TN (TTW)",200,Shipment Data Received-Not Clearable
34467511,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34467512,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34467513,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34468634,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34468633,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34468630,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34428586,4/1/2020,,0,0,5,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34466702,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34466558,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34461415,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34461834,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34461835,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34460128,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34460388,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34461833,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34452355,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Desoto, TX (TWB)",200,Shipment Data Received-Not Clearable
34458701,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34467510,4/2/2020,,0,0,1,MEM,Memphis (MEM),MEM,"Kohler - Sheridan, AR (TVY)",200,Shipment Data Received-Not Clearable
34461466,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
34461159,4/3/2020,,0,0,1,ORD,Chicago (Itasca) (ORD),ORD,"Kohler - Kohler, WI (TVB)",200,Shipment Data Received-Not Clearable
