AssignedDepotCode,Report Date,ShipDate,PinClientAssigned,Pin,ConsolePin,ShipMethodOriginal,OrderNumber,PieceCount,Weight,OCity,OArea,StatusType,ClearanceStatusType
LAX,3/26/2020,3/11/2020,8319866466-6,8319983519,8319866466,Pallet,0034171767x,6,816.5,San Bernardino,CA,Held,1
LAX,3/26/2020,3/11/2020,8319866367-7,8319983576,8319866367,Pallet,0034269610x,7,444.57,San Bernardino,CA,Held,1
LAX,3/26/2020,3/10/2020,TWM000000007,TWM000000007,TWM000000007,Package,TWM000000007,0,24.2,San Bernardino,CA,Held,0
LAX,3/26/2020,3/16/2020,TWM000000015,TWM000000015,TWM000000015,Package,TWM000000015,0,98,San Bernardino,CA,Held,0
LAX,3/26/2020,3/17/2020,TWM000000017,TWM000000017,TWM000000017,Package,0034353486,1,28.3,San Bernardino,CA,Shipment Data Received,1
LAX,3/26/2020,3/17/2020,TWM000000016,TWM000000016,TWM000000016,Package,0034362358,1,55.5,San Bernardino,CA,Shipment Data Received,1
LAX,3/26/2020,3/26/2020,8319866854-6,8320247755,8319866854,Pallet,0034365046,6,448.45,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866854-5,8320247748,8319866854,Pallet,0034365046,6,448.43,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866854-4,8320247730,8319866854,Pallet,0034365046,6,448.43,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866854-3,8320247722,8319866854,Pallet,0034365046,6,448.43,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866854-2,8320247714,8319866854,Pallet,0034365046,6,448.43,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866854-1,8319866854,8319866854,Pallet,0034365046,6,448.43,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866763-2,8320247706,8319866763,Pallet,0034374278,2,205.21,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866763-1,8319866763,8319866763,Pallet,0034374278,2,205.21,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866771-2,8320247698,8319866771,Pallet,0034374279,2,349.5,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866771-1,8319866771,8319866771,Pallet,0034374279,2,349.5,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866789-1,8319866789,8319866789,Pallet,0034374283,1,197.05,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866797-1,8319866797,8319866797,Pallet,0034374284,1,286.64,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866805-3,8320247771,8319866805,Pallet,0034374287,3,371.48,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866805-2,8320247763,8319866805,Pallet,0034374287,3,371.49,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866805-1,8319866805,8319866805,Pallet,0034374287,3,371.49,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866821-1,8319866821,8319866821,Pallet,0034391597,1,186.97,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866839-4,8320247805,8319866839,Pallet,0034404848,4,342.14,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866839-3,8320247797,8319866839,Pallet,0034404848,4,342.12,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866839-2,8320247789,8319866839,Pallet,0034404848,4,342.12,San Bernardino,CA,Shipment Data Received,0
LAX,3/26/2020,3/26/2020,8319866839-1,8319866839,8319866839,Pallet,0034404848,4,342.12,San Bernardino,CA,Shipment Data Received,0
MDT,3/26/2020,3/24/2020,00100406885004852179,8320247391,8319218213,Pallet,0034356705,2,133.49,Carlisle,PA,Dispatched,1
MDT,3/26/2020,3/24/2020,00100406885004852070,8319218213,8319218213,Pallet,0034356705,2,133.49,Carlisle,PA,Dispatched,1
MDT,3/26/2020,3/24/2020,00100406885004852209,8319218247,8319218247,Pallet,0034356714,1,198.4,Carlisle,PA,Dispatched,1
MDT,3/26/2020,3/24/2020,00100406885004852230,8319218320,8319218320,Pallet,0034366980,1,118.2,Carlisle,PA,Dispatched,1
MDT,3/26/2020,3/24/2020,TTB000000047,TTB000000047,TTB000000047,Package,0034399892,1,5,Carlisle,PA,Dispatched,1
MDT,3/26/2020,2/11/2020,TTB000000003,TTB000000003,TTB000000002,Package,0031152364,2,5,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,2/11/2020,TTB000000002,TTB000000002,TTB000000002,Package,0031152364,2,5,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218155-3,8320247607,8319218155,Pallet,0034314641,3,480.09,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218155-2,8320247599,8319218155,Pallet,0034314641,3,480.09,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218155-1,8319218155,8319218155,Pallet,0034314641,3,480.09,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218163-3,8320247656,8319218163,Pallet,0034323514,3,402.5,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218163-2,8320247649,8319218163,Pallet,0034323514,3,402.49,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218163-1,8319218163,8319218163,Pallet,0034323514,3,402.49,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218171-3,8320247623,8319218171,Pallet,0034356701,3,261.5,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218171-2,8320247615,8319218171,Pallet,0034356701,3,261.51,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218171-1,8319218171,8319218171,Pallet,0034356701,3,261.51,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218189-3,8320247565,8319218189,Pallet,0034356702,3,493.25,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218189-2,8320247557,8319218189,Pallet,0034356702,3,493.26,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218189-1,8319218189,8319218189,Pallet,0034356702,3,493.26,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218197-1,8319218197,8319218197,Pallet,0034356703,1,371.12,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218205-2,8320247581,8319218205,Pallet,0034356704,2,163.9,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218205-1,8319218205,8319218205,Pallet,0034356704,2,163.9,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218221-3,8320247896,8319218221,Pallet,0034356706,3,387.55,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218221-2,8320247888,8319218221,Pallet,0034356706,3,387.55,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218221-1,8319218221,8319218221,Pallet,0034356706,3,387.55,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218239-2,8320247540,8319218239,Pallet,0034356713,2,364.83,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218239-1,8319218239,8319218239,Pallet,0034356713,2,364.84,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218254-2,8320247631,8319218254,Pallet,0034366981,2,385.07,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218254-1,8319218254,8319218254,Pallet,0034366981,2,385.06,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218262-2,8320247532,8319218262,Pallet,0034376270,2,208.35,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218262-1,8319218262,8319218262,Pallet,0034376270,2,208.35,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218270-5,8320247938,8319218270,Pallet,0034376273,5,291.96,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218270-4,8320247920,8319218270,Pallet,0034376273,5,291.98,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218270-3,8320247912,8319218270,Pallet,0034376273,5,291.98,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218270-2,8320247904,8319218270,Pallet,0034376273,5,291.98,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218270-1,8319218270,8319218270,Pallet,0034376273,5,291.98,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218288-1,8319218288,8319218288,Pallet,0034376279,1,401.92,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218296-2,8320247573,8319218296,Pallet,0034385207,2,303.71,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218296-1,8319218296,8319218296,Pallet,0034385207,2,303.71,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218304-1,8319218304,8319218304,Pallet,0034385208,1,110,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218114-1,8319218114,8319218114,Pallet,0034385211,1,94.75,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218148-1,8319218148,8319218148,Pallet,0034392666,1,76.99,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218312-1,8319218312,8319218312,Pallet,0034392667,1,360.6,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218338-1,8319218338,8319218338,Pallet,0034400717,1,134,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218346-1,8319218346,8319218346,Pallet,0034401128,1,413.97,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218361-1,8319218361,8319218361,Pallet,0034409146,1,176,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,8319218379-1,8319218379,8319218379,Pallet,0034411499,1,81.57,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/25/2020,TTB000000048,TTB000000048,TTB000000048,Package,0034414456,1,65,Carlisle,PA,Shipment Data Received,1
MDT,3/26/2020,3/25/2020,TTB000000049,TTB000000049,TTB000000049,Package,0034417061,1,7,Carlisle,PA,Shipment Data Received,1
MDT,3/26/2020,3/26/2020,8319218429-1,8319218429,8319218429,Pallet,0034426899,1,80,Carlisle,PA,Shipment Data Received,0
MDT,3/26/2020,3/26/2020,TTB000000050,TTB000000050,TTB000000050,Package,TTB000000050,0,6,Carlisle,PA,Shipment Data Received,0
MEM,3/26/2020,3/24/2020,00100406889907218254,8320247235,8319516558,Pallet,0034288296,2,416.07,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907218704,8319516558,8319516558,Pallet,0034288296,2,416.07,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907229045,8320247227,8319516582,Pallet,0034318316,10,767.9,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907228482,8320247219,8319516582,Pallet,0034318316,10,767.94,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907223760,8320247201,8319516582,Pallet,0034318316,10,767.94,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907221971,8320247193,8319516582,Pallet,0034318316,10,767.94,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907223708,8320247185,8319516582,Pallet,0034318316,10,767.94,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907221933,8320247177,8319516582,Pallet,0034318316,10,767.94,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907222022,8320247169,8319516582,Pallet,0034318316,10,767.94,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907222053,8320247151,8319516582,Pallet,0034318316,10,767.94,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907221513,8320247144,8319516582,Pallet,0034318316,10,767.94,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907227935,8319516582,8319516582,Pallet,0034318316,10,767.94,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907258786,8319516590,8319516590,Pallet,0034336673,1,61.3,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907258915,8319516681,8319516681,Pallet,0034337205,1,82.8,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907258809,8319516640,8319516640,Pallet,0034351092,1,566.8,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/25/2020,00100872063336914591,8319716018,8319716018,Pallet,0034354614,1,95.12,Union City,TN,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907258953,8319516707,8319516707,Pallet,0034355572,1,143,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,00100406889907254870,8319516715,8319516715,Pallet,0034371425,1,78,Desoto,TX,Dispatched,1
MEM,3/26/2020,3/24/2020,TTW000000069,TTW000000069,TTW000000069,Package,0034386438,1,4.95,Union City,TN,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001369,TVY000001369,TVY000001368,Package,0034392513,2,16.52,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001368,TVY000001368,TVY000001368,Package,0034392513,2,8.24,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TTW000000068,TTW000000068,TTW000000068,Package,0034393590,1,1.25,Union City,TN,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001355,TVY000001355,TVY000001355,Package,0034403481,1,0.36,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001373,TVY000001373,TVY000001373,Package,0034403482,1,0.38,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001362,TVY000001362,TVY000001362,Package,0034409899,1,0.16,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001363,TVY000001363,TVY000001363,Package,0034409900,1,0.22,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001354,TVY000001354,TVY000001354,Package,0034409902,1,0.36,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001364,TVY000001364,TVY000001364,Package,0034409903,1,0.24,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001361,TVY000001361,TVY000001361,Package,0034409904,1,0.48,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001365,TVY000001365,TVY000001365,Package,0034410085,1,0.34,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001366,TVY000001366,TVY000001366,Package,0034410086,1,0.18,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001356,TVY000001356,TVY000001356,Package,0034410250,1,0.06,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001359,TVY000001359,TVY000001359,Package,0034410980,1,0.52,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001357,TVY000001357,TVY000001357,Package,0034410981,1,0.38,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001367,TVY000001367,TVY000001367,Package,0034411014,1,0.06,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001360,TVY000001360,TVY000001360,Package,0034411015,1,1.96,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/24/2020,TVY000001358,TVY000001358,TVY000001358,Package,0034411016,1,0.38,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001374,TVY000001374,TVY000001374,Package,0034411629,1,1.84,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001393,TVY000001393,TVY000001393,Package,0034411728,1,0.06,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001378,TVY000001378,TVY000001378,Package,0034411730,1,0.68,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001386,TVY000001386,TVY000001386,Package,0034411733,1,0.74,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001391,TVY000001391,TVY000001391,Package,0034411734,1,0.32,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001392,TVY000001392,TVY000001392,Package,0034411735,1,0.42,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001387,TVY000001387,TVY000001387,Package,0034414279,1,0.76,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001402,TVY000001402,TVY000001402,Package,0034414285,1,20.14,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001416,TVY000001416,TVY000001415,Package,0034414286,2,21.08,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001415,TVY000001415,TVY000001415,Package,0034414286,2,13.92,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001383,TVY000001383,TVY000001380,Package,0034414288,4,20.44,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001382,TVY000001382,TVY000001380,Package,0034414288,4,8.24,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001381,TVY000001381,TVY000001380,Package,0034414288,4,39.08,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001380,TVY000001380,TVY000001380,Package,0034414288,4,18.08,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001414,TVY000001414,TVY000001411,Package,0034414289,4,22.04,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001413,TVY000001413,TVY000001411,Package,0034414289,4,22.04,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001412,TVY000001412,TVY000001411,Package,0034414289,4,22.04,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001411,TVY000001411,TVY000001411,Package,0034414289,4,22.04,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001404,TVY000001404,TVY000001404,Package,0034414291,1,6.22,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001421,TVY000001421,TVY000001420,Package,0034414293,2,6.22,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001420,TVY000001420,TVY000001420,Package,0034414293,2,1.84,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001400,TVY000001400,TVY000001398,Package,0034414294,3,14.62,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001399,TVY000001399,TVY000001398,Package,0034414294,3,10.34,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001398,TVY000001398,TVY000001398,Package,0034414294,3,14.76,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001422,TVY000001422,TVY000001422,Package,0034414295,1,22.72,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001385,TVY000001385,TVY000001384,Package,0034414297,2,39.82,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001384,TVY000001384,TVY000001384,Package,0034414297,2,14.34,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001418,TVY000001418,TVY000001417,Package,0034414300,2,34.26,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001417,TVY000001417,TVY000001417,Package,0034414300,2,15.26,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001410,TVY000001410,TVY000001405,Package,0034414302,6,26.52,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001409,TVY000001409,TVY000001405,Package,0034414302,6,6.84,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001408,TVY000001408,TVY000001405,Package,0034414302,6,6.84,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001407,TVY000001407,TVY000001405,Package,0034414302,6,6.84,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001406,TVY000001406,TVY000001405,Package,0034414302,6,31.24,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001405,TVY000001405,TVY000001405,Package,0034414302,6,18.8,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001425,TVY000001425,TVY000001423,Package,0034414304,3,13.16,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001424,TVY000001424,TVY000001423,Package,0034414304,3,26.34,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001423,TVY000001423,TVY000001423,Package,0034414304,3,37.96,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001401,TVY000001401,TVY000001401,Package,0034414305,1,4.88,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001403,TVY000001403,TVY000001403,Package,0034414307,1,20.56,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001397,TVY000001397,TVY000001394,Package,0034414308,4,30.98,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001396,TVY000001396,TVY000001394,Package,0034414308,4,30.98,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001395,TVY000001395,TVY000001394,Package,0034414308,4,16.12,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001394,TVY000001394,TVY000001394,Package,0034414308,4,12.3,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001377,TVY000001377,TVY000001375,Package,0034414309,3,14.96,Sheridan,AR,Dispatched,1
MEM,3/26/2020,3/25/2020,TVY000001376,TVY000001376,TVY000001375,Package,0034414309,3,14.96,Sheridan,AR,Dispatched,1
