Country,City,State,Depot,Account,ShipmentStatus,ShipMethodActualDesc,ShipDate,ClearanceStatusType,ShipMethodOrgDesc,ShipMethodOrgCode,CartonCount,PieceCount
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-03 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Express","2020-04-06 00:00:00",1,"Purolator Express",121,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-07 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-07 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-07 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-08 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-09 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-13 00:00:00",0,"Purolator Ground",122,0,0
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-13 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-15 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Express","2020-04-16 00:00:00",1,"Purolator Express",121,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Express","2020-04-16 00:00:00",1,"Purolator Express",121,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-16 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,3
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,3
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,3
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-17 00:00:00",1,"Purolator Ground",122,0,1
